Subject,Code,Description
ECON,219,"3.0; 3 cr.
A  survey  of  capital  markets  and  asset  pricing  models;  determination  of  the 
links  between 
financial  markets,  monetary  policy,  and  economic  growth.  
Prerequisite: ECON 227. Annually.
"
ECON,221,"3.0; 3 cr.
A survey of the history of economic thought, both theory and policy, with an emphasis 
on contemporary economic thought. Prerequisite: ECON 217 or ECON 227, or consent of 
instructor. Annually.
"
ECON,222,"3.0; 3 cr.
A survey of the demand for and supply of labor, investment in human capital, market 
structure and efficiency of labor markets, collective bargaining, income distribution, 
and unemployment. Prerequisite: ECON 217. Annually.
"
ECON,223,"3.0; 3 cr.
A  study  of  the  resource  endowment  of  the  Arab  Middle  Eastern  economies;  their 
development  experience,  and  the  general  outlook  for  growth  and  development. 
Prerequisites: ECON 211 and ECON 212. Occasionally.
"
ECON,226,"3.0; 3 cr.
Introduction on the nature and the role of governments in the economy. This course 
covers  market  failure  and  government  intervention,  government  failure  and  public 
choice, economic analysis of public policy, inequality and tax policy. Prerequisite: ECON 
217. Annually.
"
ECON,227,"3.0; 3 cr.
A study of the aggregate approach to economics, including the determination of output, 
employment,  interest  rates,  and  the  price  level.  Inflation  and  stabilization  policies, 
budget deficits and the national debt, business cycles, theories of consumption, and 
investment behavior. Prerequisites: ECON 211, ECON 212, and MATH 201. Corequisite: 
MATH 202. Every term. 
"
ECON,228,"3.0; 3 cr.
Central  banking  and  instruments  of  monetary  management,  alternative  theories  of 
the demand for money, the balance of payments and the processes of its adjustment. 
Prerequisite: ECON 227. Annually.
"
ECON,230,"3.0; 3 cr.
Economic development of Europe and other areas up to 1914, with special emphasis on a 
number of distinct problems in different countries and historical periods. Prerequisites: 
ECON 211 and ECON 212. Occasionally.
"
ECON,232,"3.0; 3 cr.
Economic policy in developing countries in the context of globalization, policy challenges 
facing developing countries, impact of regional blocs, and requirements for successful 
integration into the world economy. Prerequisite: ECON 227. Occasionally.
"
ECON,235,"3.0; 3 cr.
Classical  trade  model,  the  Heckscher-Ohlin  theorem  and  subsequent  theoretical 
developments,  tariffs,  domestic  distortions,  customs  union,  trade,  and  economic 
growth. Prerequisite: ECON 217. Annually.
"
ECON,236,"3.0; 3 cr.
Systematic analysis of policies in an open economy, the balance of payments, foreign 
exchange markets and adjustment under different exchange rate standards; basic policy 
issues in trade and development. Prerequisites: ECON 217 and ECON 227. Annually.
"
ECON,237,"3.0; 3 cr.
An  introduction  to  development  economics  that  covers  the  theory  and  empirics  of 
development, quality of life, poverty, inequality, and knowledge based policy making in 
the context of the challenges faced by developing countries including market-oriented 
reforms, impact of globalization, urbanization, agricultural development, and gender 
equality. Prerequisite: ECON 217 or ECON 227. Annually.
"
ECON,239,"3.0; 3 cr.
Linear  algebra,  single  variable  optimization,  multi-variable  optimization,  and 
constrained  optimization-  basic  theoretical  concepts  and  practical  applications- 
with  an  emphasis  on  the  use  of  general  functional  forms  and  on  comparative 
statics  and  with  several  examples  drawn  from  the  economics  of  uncertainty.  
Prerequisite: ECON 217. Annually.
"
ECON,240,"3.0; 3 cr.
Models  of  economic  development  and  growth;  macroeconomic  planning;  policy 
formulation  and  implementation  in  developing  countries.  Prerequisite:  ECON  227. 
Annually.
"
ECON,241,"3.0; 3 cr.
Application of microeconomics; analysis of factors affecting market structure, conduct 
and firm behavior in imperfectly competitive industries; survey of theories relating to 
intensity of competition and maintenance of market dominance; rationale for antitrust 
laws. Prerequisite: ECON 217. Annually.
"
ECON,242,"3.0; 3 cr.
This course introduces key aspects of major energy markets including oil, natural gas, 
coal, electricity, nuclear power, and renewable energy. It focuses on building economic 
models  to  analyze  the  various  energy  markets  and  uses  these  models  to  explore 
taxes and social welfare, government regulation and deregulation, public policy, and 
externalities. Prerequisite: ECON 217. Occasionally.
"
ECON,243,"3.0; 3 cr.
Basic concepts and methods of game theory with applications to economic problems, 
Nash  equilibrium,  mixed  strategies,  zero  sum  games,  repeated  games.  Prerequisite: 
ECON 217. Annually.
"
EDUC,211," 3.0; 3 cr.
A course on the importance of teaching as a profession in the larger context of social and 
cultural change; the manner in which teaching can influence the nature and direction of 
change; contrasts between advanced and developing countries. Annually.
"
EDUC,212,"3.0; 3 cr.
A  course  on  the  educational  laws  that  govern  public  and  private  schools,  including 
policies  related  to  various  educational  levels,  certification  and  equivalency  issues, 
government approval, syllabi, book authorship, examinations, and educational plans. 
Annually.
"
EDUC,213,"3.0; 3 cr.
A survey of various aspects of educational administration, with emphasis on leadership 
theories  and  organizational  structure,  functions,  and  responsibilities  of  educational 
administrators, and public control of education. Annually.
"
EDUC,215,"3.0; 3 cr.
An introduction to instructional theory, the nature of intelligence, child development, 
learning  and  behavior  management,  with  an  emphasis  on  the  basic  implications  for 
classroom teaching. Annually.
"
EDUC,216,"3.0; 3 cr.
A review of the development of educational thought as expressed in the writings and 
ideas of major philosophers. This review endeavors to deal with thought in the context 
of the historical times. Arab thought is included. Annually.
"
EDUC,218,"3.0; 3 cr.
A  study  of  the  diverse  elements  of  ancient  and  modern  children’s  literature.  Topics 
include poetry, fairy tales, epics, myths and legends, fantasy, fiction, and illustrated 
stories.  The  skill  of  using  literature  effectively  with  children  is  particularly  stressed. 
Annually.
"
EDUC,219,"2.2; 3 cr.
This  course  examines  how  to  use  technology  to  support  teaching  and  learning.  This 
course  is  designed  to  prepare  students  to  integrate  a  variety  of  computer-based 
technologies  into  the  K-12  curriculum  such  as  Web  2.0  (blogs,  wikis,  google  apps), 
spreadsheets, and slideshows implemented through lesson activities. Students can get 
credit for only one of CMPS 206, CMPS 209, or EDUC 219. Annually.
"
EDUC,220,"2.2; 3 cr.
This course explores the use of Interactive White Boards (IWBs) and other interactive 
instructional  media  techniques  in  education.  This  course  will  equip  students  with 
knowledge  and  skills  to  create  effective  and  interactive  lessons  and  activities  that 
enhance  teaching  and  learning.  Media  techniques  and  principles  are  implemented 
through activities and projects appropriate to use for all majors. Annually.
"
EDUC,221,"3.0; 3 cr.
An  introduction  to  special  education  and  the  various  categories  of  exceptionality, 
including  nature,  causes,  educational  characteristics  of  children  with  intellectual 
disabilities, learning disabilities, emotional and behavioral disturbance, communication 
disorders,  visual  impairment,  hearing  impairment,  physical  disabilities,  autism 
spectrum disorder, and giftedness. Annually.
"
EDUC,222,"3.0; 3 cr.
An introduction to theory and uses of assessment techniques and instruments in special 
education.  Emphasis  is  placed  on  educational  implications  for  learners  with  special 
needs. Annually.
"
EDUC,223,"3.0; 3 cr.
An introduction to the field of guidance and counseling. The role of the counselor in 
school and community settings is emphasized. Annually.
"
EDUC,225,"3.0; 3 cr.
A  chronological  study  of  typical  and  atypical  cognitive,  linguistic,  emotional,  and 
physical  development  from  the  prenatal  period  through  adolescence.  The  relative 
influences and interactions of heredity and environment, and the impact of development 
on learning and school success are examined. Students who receive credit for EDUC 225 
cannot receive credit for PSYC 210. Annually.
"
EDUC,226,"3.0; 3 cr.
A course on personnel policies and procedures; recruitment, salary scales, benefits, 
promotions and pension plans; job description and evaluation; organizing the personnel 
department;  training  and  development  of  human  resource  programs  in  educational 
institutions. Annually.
"
EDUC,227,"3.0; 3 cr.
A course on descriptive statistics, correlation, prediction, and statistical inference as 
applied  to  educational  situations.  Students  who  receive  credit  for  this  course  cannot 
receive credit for any other introductory statistics course, such as STAT 201, STAT 210, 
STAT 230, MATH 233, or ECON 213. Annually.
"
EDUC,230,"3.0; 3 cr.
An introduction to instructional planning, teaching strategies, classroom management, 
and evaluation procedures. Annually.
"
EDUC,231,"3.0; 3 cr.
A course on trends, theories, and practices in the teaching and evaluation of reading 
in  the  elementary  school;  alternative  teaching/learning  strategies  for  developing 
readiness, comprehension, and evaluation of progress in reading. Annually.
"
EDUC,247,"2.2; 3 cr.
A  course  on  the  design  and  production  of  computer-based  educational  packages 
using  multimedia  and  hypermedia  techniques.  Students  are  expected  to  use  digital 
technology to produce applications that are deliverable through the internet, CD-ROMs, 
or other digital media. Annually.
"
EDUC,271,"3.0; 3 cr.
A course that focuses on using problem solving as an integral constituent of mathematics 
teaching in elementary and intermediate school mathematics. The purpose of the course 
is to support students in developing a deep understanding of mathematical concepts 
and procedures in arithmetic and algebra. Annually.
"
EDUC,272,"3.0; 3 cr.
A course that focuses on using problem solving as an integral constituent of mathematics 
teaching in elementary and intermediate school mathematics. The purpose of the course 
is to support students in developing a deep understanding of mathematical concepts 
and procedures in probability, statistics and geometry. Annually.
"
EDUC,273,"3.0; 3 cr.
An in-depth study of science concepts and skills in pre-secondary science curricula. 
Annually.
"
EDUC,274,"3.0; 3 cr.
An in-depth study of science concepts and skills in pre-secondary science curricula. 
Annually.
"
EDUC,290,"1.0-3.0; 1-3 cr.
A course that deals with special issues and concerns not included in regular courses. 
The following examples are taken from topics given during the last few years: Music for 
elementary teachers, visual arts for elementary teachers, and trends in early childhood 
education. May be repeated for credit. Annually.
"
EDUC,291,"3.0; 3 cr.
A seminar intended for majors in elementary education that focuses on one or more 
current issues in elementary education. Annually.
"
EDUC,292,"3.0; 3 cr.
A seminar intended for majors in education that focuses on educational issues in one or 
groups of Arab countries. Annually.
"
EDUC,214,"1.4; 3 cr.
A course on managing, planning and organizing, and personnel management; supervised 
training  at  AUB  and  practical  experiences  in  schools  and  other  institutions,  such  as 
hospitals, technical institutions, colleges, and universities under the supervision of the 
course instructor and professional practitioners. Prerequisite: EDUC 213. Annually.
"
EDUC,224,"1.4; 3 cr.
Workshops  in  supervision  methods  at  AUB  and  practical  skills  in  schools  and  other 
educational  institutions,  supervised  by  the  course  instructor  and  professionals  in 
the  field;  approaches  to  instructional  supervision  for  the  generalist  and  specialist 
supervisor;  communicating,  motivating,  evaluating,  and  monitoring  of  staff  and 
professionals; promoting individual and group development, and overseeing curriculum 
development. 
"
EDUC,228,"2.2; 3 cr.
A course on the theory and practice in teaching visual art in the elementary school with 
observation and practice teaching in classrooms. Corequisite: EDUC 230. Annually.
"
EDUC,229,"A  course  on  the  development  of  students’  basic  skills  in  music  (general  vocal  and 
instruments), combined with a study of source materials in the teaching of music. This 
course  also  includes  observation  and  practice  teaching  in  classrooms.  Corequisite: 
EDUC 230. Annually.
"
EDUC,237,"2.2; 3 cr.
An  introduction  to  the  major  theories  of  health  behavior  and  health  promotion. 
Emphasis is placed on the application of health behavior theories to health promotion 
and education practice. Students cannot receive credit for both EDUC 237 and HCPH 237. 
Corequisite: EDUC 230. Annually.
"
EDUC,238,"1.4; 3 cr.
An introduction to the assumptions we make about communication and key elements of 
the communication process. This course deals with factors that inhibit communication 
as well as some of the functions of communication as they relate to increasing positive 
health behavior and group effectiveness. This course aims at enhancing writing and 
oral presentation skills as well as effective interaction skills with peers and supervisors 
at work. Cross-listed as HCPH 203, Communication for Health Professionals. Students 
cannot receive credit for both EDUC 238 and HCPH 203. Prerequisite: EDUC 237. Annually.
"
EDUC,240,"2.2; 3 cr.
A course on the theory and practice in methods of teaching Arabic in elementary schools 
with observation and practice teaching in classrooms. Corequisite: EDUC 230. Annually.
"
EDUC,241,"2.2; 3 cr.
A  course  on  theory  and  method  of  teaching  Arabic  language  and  literature  at  the 
secondary level, with emphasis on new approaches. Corequisite: EDUC 230. Annually.
"
EDUC,242,"1.3; 3 cr.
A  practicum  of  classroom  observation  and  supervised  practice  teaching  of  Arabic 
language and literacy at the secondary level. Prerequisite: EDUC 241. Annually.
"
EDUC,243,"2.2; 3 cr.
A  course  on  theoretical  background  and  approaches  to  the  teaching  of  English  as  a 
foreign/second  language;  principles  and  techniques  of  teaching  the  basic  language 
skills; includes classroom observation and micro teaching practices. Corequisite: EDUC 
230. Annually.
"
EDUC,244,"1.4; 3 cr.
A course on the preparation and evaluation of teaching materials through individual and 
group projects; guided and supervised practice teaching in schools. Prerequisite: EDUC 
243. Annually.
"
EDUC,246,"2.2; 3 cr.
A  course  that  explores  computer  programming  techniques  suitable  for  teaching 
Informatics and other subject matters at the school level. This course includes cognitive 
theoretical background and practical work. Special emphasis is placed on the use of 
programming as a means to promote thinking skills. Corequisite: EDUC 219 or EDUC 220. 
Annually.
"
EDUC,248,"2.2; 3 cr.
A course on concepts, trends, and skills needed to design and teach curriculum materials 
for informatics education; analysis and evaluation of informatics curriculum; methods 
and techniques of teaching informatics at the school level; includes demonstrations 
and observation of actual computer lab sessions. Prerequisite: EDUC 246. Annually.
"
EDUC,249,"2.2; 3 cr.
A course on approaches to the teaching of history, geography, and civics; adaptation of 
social science concepts and generalizations to the secondary level. Corequisite: EDUC 
230. Annually.
"
EDUC,250,"1.4; 3 cr.
A  practicum  of  classroom  observation  and  supervised  practice  teaching  of  social 
science, or history, geography, and civics in neighboring schools. Prerequisite: EDUC 
249. Annually.
"
EDUC,251,"2.2; 3 cr.
A  course  on  the  theory  and  practice  in  methods  of  teaching  history,  geography, 
and  civic  education  in  elementary  school,  with  observation  and  practice  teaching.  
Corequisite: EDUC 230. Annually.
"
EDUC,252,"2.2; 3 cr.
A course on the theory and practice in methods of teaching mathematics in elementary 
school, with observation and practice teaching. Corequisite: EDUC 230. Annually.
"
EDUC,253,"2.2; 3 cr.
A  course  on  the  pedagogical  and  mathematical  basis  of  various  approaches  in 
mathematics  teaching  in  middle  and  secondary  schools;  includes  demonstrations, 
classroom observation, and applications. Corequisite: EDUC 230. Annually.
"
EDUC,254,"1.4; 3 cr.
An  analysis  and  preparation  of  teaching/learning  materials,  plans,  and  tests  for 
mathematics teaching, including supervised practice teaching and individual and group 
meetings. Prerequisite: EDUC 253. Annually.
"
EDUC,255,"2.2; 3 cr.
A course on the nature of science and its implication in teaching; critical study of various 
science  teaching  techniques;  survey  and  practice  in  the  utilization  of  instructional 
materials. Corequisite: EDUC 230. Annually. 
"
EDUC,256," 1.4; 3 cr.
A  review  of  various  science  curriculum  projects  and  programs;  curriculum  planning, 
micro-teaching,  and  practicum  in  classroom  observation  and  teaching.  Prerequisite: 
EDUC 255. Annually. 
"
EDUC,257,"2.2; 3 cr.
A course on the theory and practice in methods of teaching science in the elementary 
school, with observation and practice teaching. Corequisite: EDUC 230. Annually.
"
EDUC,261,"0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 243. Annually.
"
EDUC,262,"0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 253. Annually.
"
EDUC,263,"0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 255. Annually.
"
EDUC,264,"0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 237. Annually.
"
EDUC,265," 0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 241. Annually.
"
EDUC,267,"0.12; 6 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course  instructors  and  cooperating  schoolteachers.  Prerequisite:  One  of  EDUC  245, 
EDUC 251, EDUC 240, EDUC 252, EDUC 257, EDUC 228, or EDUC 229. Annually.
"
EDUC,268,"0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course  instructors  and  cooperating  schoolteachers.  Prerequisite:  One  of  EDUC  245, 
EDUC 251, EDUC 240, EDUC 252, EDUC 257, EDUC 228, or EDUC 229. Annually.
"
EDUC,269," 0.6; 3 cr.
Observation  and  practice  in  classroom  situations  under  the  guidance  of  university 
course instructors and cooperating schoolteachers. Prerequisite: EDUC 246. Annually.
"
EDUC,280,"3.0; 3 cr.
The application and analysis of behavior change techniques with exceptional learners 
in  various  educational  settings.  Theories  and  applications  of  individual  and  group 
behavior  management  plans  are  emphasized.  Prerequisite:  Either  EDUC  221  or  EDUC 
222. Pre- or corequisite: EDUC 222. Annually
"
EDUC,283A,"0.6; 3 cr.
Supervised teaching experience to develop and demonstrate teaching competence for 
children with learning disabilities. Corequisite: EDUC 281 or EDUC 282. Second term. 
Annually.
"
EDUC,283B,"0.6; 3 cr.
Supervised teaching experience to develop and demonstrate teaching competence for 
gifted and talented children. Corequisite: EDUC 281 or EDUC 282. Second term. Annually.
"
SOAN,101,"An  introduction  to  the  principles  and  concepts  of  sociology  to  prepare  students  for 
majoring in sociology. Students who take this course cannot receive credit for SOAN 201. 
Every term.
"
SOAN,103," 3.0; 3 cr. 
An  introduction  to  the  study  of  other  cultures  drawing  on  film,  ethnographic  case 
studies,  and  topical  debates.  This  course  presents  basic  concepts  in  the  comparative 
study  of  culture,  methods  of  observing  and  interpreting  other  cultures,  a  sense  of  how 
knowledge about other cultures is constructed, and tools to develop a critical awareness of 
one’s  own  cultural  traditions.  Note  that  this  course  is  classified  as  a  humanities,  not  a 
social  science,  course.  Students  may  take  it  to  fulfill  the  humanities  requirement  of 
their  freshman  year  but  not  in  fulfillment  of  the  freshman  social  sciences  requirement. 
Students may receive credit for both SOAN 201 and SOAN 203. Every term.
"
SOAN,201,"3.0; 3 cr. 
An  introduction  to  the  study  of  social  phenomena.  Basic  concepts,  principles,  and 
methods common to the study of society are employed for the analysis of structure and 
change  in  society.  This  course  includes  the  structure  and  origin  of  some  basic  human 
institutions such as family, kinship, religion, and language. A student who has received 
credit for SOAN 101 cannot receive credit for SOAN 201. Students may receive credit for 
both SOAN 201 and SOAN 203. Every term.
"
SOAN,203,"3.0; 3 cr.
An  introduction  to  socio-cultural  anthropology.  Anthropology  offers  comparative 
perspectives on the ways people live in the world. In doing so, it challenges some of 
our commonly held assumptions about what is natural and universal. The course will 
explore anthropology’s approaches, concepts and methods emphasizing case studies 
from different settings. Students may receive credit for both SOAN 201 and SOAN 203. 
Every term.
"
SOAN,210,"3.0; 3 cr.
A  survey  of  the  basic  techniques  and  designs  of  social  research,  including  both 
quantitative  and  qualitative  methods,  the  relationship  between  micro  and  macro 
approaches to society, and the interplay between theory and research. Alternate years.
"
SOAN,211,"3.0; 3 cr.
A  survey  of  basic  statistical  techniques  and  other  methods  of  quantitative  analysis 
used  in  analyzing  social  data.  Students  participate  in  the  analysis  of  research  data 
by  applying  various  analytical  techniques  using  computer  packages.  They  will  also 
interpret research findings and write a research report. Annually.
"
SOAN,212,"3.0; 3 cr.
A survey of some of the major theoretical perspectives and critical issues of classical 
and contemporary anthropological theory. Special focus is placed on the intellectual 
history of the discipline, an analysis of the contexts in which it developed and tools to 
recognize and critically evaluate different perspectives on culture and society. Annually.
"
SOAN,213,"3.0; 3 cr.
A survey of some of the major theoretical perspectives and critical issues of classical 
and  contemporary  sociological  theory.  Special  focus  is  placed  on  four  interrelated 
dimensions: 1) the nature of sociological theory and its intellectual sources, 2) its classic 
tradition, particularly the legacies of Marx, Durkheim, and Weber, 3) an exploration of 
salient contemporary perspectives, 4) the emergence of new theories and/or directions, 
such as post-modernity and global sociology. Alternate years.
"
SOAN,215,"3.0; 3 cr.
A critical examination of conceptions of “mainstream” or “dominant” American culture. 
Using  ethnographic  case  material,  the  course  explores  cultural  systems  and  social 
structures in the contemporary United States, offering an introduction to anthropological 
approaches to the study of complex societies. Note that this course is classified as a 
humanities, not as a social science, course. Alternate years.
"
SOAN,216,"3.0; 3 cr.
An  introduction  to  the  techniques,  theories,  and  debates  concerning  ethnographic 
fieldwork. What do anthropologists actually do and what is unique about anthropological 
research? This course explores the politics and ethics of research, kinds of observation, 
effective interviewing strategies, note-taking, ways of ‘coding’ or indexing information, 
data analysis, and approaches to writing. Alternate years.
"
SOAN,217,"3.0; 3 cr.
An  examination  of  cultural  and  historical  variations  in  perceptions  and  experiences 
of  the  human  body.  The  course  focuses  on  the  ways  the  human  body  is  culturally 
constructed  and  socially  experienced,  through  case  studies  of  labor,  sport,  health, 
illness, sexuality, gender, display, and religious ritual. Note that this course is classified 
as a humanities, not a social science, course. Annually. 
"
SOAN,218,"3.0; 3 cr.
This  course  explores  science  and  medicine  from  a  cross-cultural  and  historical 
perspective. Students examine how scientific and medical practices are imbued with 
and  shaped  by  social  meanings  and  politics.  They  explore  how  the  institutions  of 
science and medicine construct truth, reality, nature, disease, health, body and mind 
and how they connect with markets and other institutions. Occasionally.
"
SOAN,220,"3.0; 3 cr.
An  introduction  to  some  of  the  leading  conceptual  and  methodological  perspectives 
for  the  study  of  transformations  in  human  settlements.  The  course  explores  issues 
associated with the evolution of cities, their spatial and cultural features, and the social 
production of informal space and the gendering of space. Changing trends and patterns 
in Third World urbanization are explored with special focus on the Arab World, global, 
and post-modern cities. Alternate years.
"
SOAN,221,"3.0; 3 cr.
This  course  explores  the  everyday  practices  of  the  larger  structures  that  create  and 
perpetuate  power.  It  emphasizes  students’  awareness  of  the  state  apparatus,  non-
state political systems and modes of political exclusion that shape the experience of 
power locally and trans-nationally. It uses prominent schools of thought, among them 
Marxism, feminism, Foucauldian and post-colonial theories to provoke critical analyses 
of power in our own lives. Alternate years.
"
SOAN,222,"3.0; 3 cr.
The course examines, from a comparative perspective, different forms of family and 
kinship  organization,  their  relation  to  production  and  systems  of  exchange.  Special 
focus is placed on processes of initiation and reproduction, and cultural expression of 
relatedness. Alternate years.
"
SOAN,223,"3.0; 3 cr.
The course explores theories of social inequality. It addresses issues such as class, 
status,  and  gender  inequalities  and  points  to  sources  of  conflict  and  consensus. 
Arguments for and against equality are canvassed. Alternate years.
"
SOAN,224,"3.0; 3 cr.
The  course  provides  a  comparative  conceptual  framework  to  explore  the  changing 
nature of sexuality in society. Special focus is placed on the social construction of sexual 
identities, sex and the body, the place of desire and the changing form of romantic love, 
erotica and pornography, the commodification of intimacy, sexual ethics and sexual 
prolifics in a globalized world. The course also focuses on the dynamics of male-female 
relations in Arab society. Alternate years.
"
SOAN,225," 3.0; 3 cr.
An examination of gender holistically and cross-culturally from a social-anthropological 
perspective.  This  course  examines  how  meanings  of  sex  variation  are  constructed 
and  gender  is  performed  by  individuals  and  groups  in  different  societies.  It  studies 
the roles of women and men in ritual, in economic and political systems, and in other 
social arenas. Note that this course is classified as a humanities, not as a social science, 
course.Annually.
"
SOAN,226,"3.0; 3 cr.
A course that examines the relationship between society and religion, including both 
formal  institutions  and  informal  processes,  which  deal  with  the  supernatural.  This 
course studies the origin and development of ritual and religious functions for both the 
individual and society. Alternate years.
"
SOAN,227,"3.0; 3 cr.
Analysis  of  cultural  boundaries  and  identities.  A  comparative  study  of  ethnicity  and 
other identity categories and related issues such as cultural hybridity and nationalism 
with emphasis on the Middle East. Alternate years.
"
SOAN,228,"An in-depth examination of the political, social, economic, and technological effects of 
old and new Arab media systems on modern Arab society, with an emphasis on Lebanon 
and the Arab East region. It focuses on probing the development and current state of 
print, broadcast and new media systems in the region. Annually
"
MCOM,203,"3.0; 3 cr.
An in-depth examination of the political, social, economic, and technological effects of 
old and new Arab media systems on modern Arab society, with an emphasis on Lebanon 
and the Arab East region. It focuses on probing the development and current state of 
print, broadcast and new media systems in the region. Pre or corequisite: ENGL 203.  
Annually.
"
SOAN,229,"An  overview  of  the  ways  in  which  mass  communication  has  been  viewed  by  social 
scientists and by practitioners, with a focus on the range of issues studied and questions 
raised, and the schools, approaches, and trends in the field. Annually.
"
MCOM,202,"3.0; 3 cr.
An  overview  of  the  ways  in  which  mass  communication  has  been  viewed  by  social 
scientists and by practitioners, with a focus on the range of issues studied and questions 
raised, and the schools, approaches, and trends in the field. Pre or corequisite: ENGL 
203. Annually.
"
SOAN,230,"3.0, 3 cr.
This course will provide an overview of the main theories and approaches in political 
sociology, and it will cover some of the key concepts in the field. It will start with a 
general introduction to political sociology and its relevance. This will be followed by 
a survey of the main classical schools of thought including pluralism, elite theories, 
Marxism, and corporatism. The course will then explore more contemporary theories 
in political sociology including authors such as Foucault, Gramsci, Arendt, Baumann or 
Skocpol. Following this general introduction, the course will then tackle major concepts 
and attempt to examine them through relevant case studies. These concepts will include: 
civil society, political organization, capitalism and neoliberalism, globalization, nation 
and  nationalism,  gender  and  sexuality,  race,  ethnicity  and  sectarianism,  identity 
politics, contentious politics, social movements, revolution and violence. Occasionally
"
SOAN,232,"3.0; 3 cr.
An overview of the field of conflict analysis and resolution. This course covers the history 
of conflict studies, theories of conflict, and methods of dispute resolution. Annually.
"
SOAN,237,"3.0; 3 cr.
A study of contemporary Arab society: its complexity, diversity, and internal dynamics. 
This course considers social structures, social groups, cultural patterns, and processes 
and agents of social and cultural change, and examines current debates on major issues 
in Arab culture and society. Listed as SOAN 214 prior to Fall term 2012-13. Prerequisite: 
Junior or senior status or consent of the instructor. Every term.
"
SOAN,238,"3.0; 3 cr. 
A course that provides a general overview of an area in the humanistic social sciences 
that  is  not  normally  covered  by  the  department’s  offerings.  Note  that  this  course  is 
classified as a humanities, not a social science, course.
"
SOAN,239," 3.0; 3 cr.
A course that provides a general overview of an area in anthropology or sociology that 
is not normally covered by the department’s offerings. This course counts as a social 
science. Occasionally.
"
